customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,segment,country
12468,188,5,3670.74,3,4,5,345,12,Loyal Customers,Germany
12469,523,2,3070.54,1,2,5,125,8,Needs Attention,Thailand
12470,690,1,211.95,1,1,1,111,3,Lost,Unspecified
12471,2,79,39963.79,5,5,5,555,15,Champions,Germany
12472,32,19,17880.59,4,5,5,455,14,Champions,Germany
12473,29,5,3938.55,4,4,5,445,13,Champions,Germany
12474,17,31,12424.45,5,5,5,555,15,Champions,Germany
12475,54,2,1149.64,4,2,3,423,9,New Customers,Germany
12476,16,23,14115.41,5,5,5,555,15,Champions,Germany
12477,23,9,20276.37,4,5,5,455,14,Champions,Germany
12478,4,1,680.99,5,1,3,513,9,New Customers,Greece
12479,11,1,527.2,5,1,2,512,8,New Customers,Germany
12480,28,7,5464.85,4,4,5,445,13,Champions,Germany
12481,23,15,12361.39,4,5,5,455,14,Champions,Germany
12482,576,29,23691.4,1,5,5,155,11,At Risk,Sweden
12483,17,19,5120.58,5,5,5,555,15,Champions,Sweden
12484,33,12,6370.15,4,5,5,455,14,Champions,Spain
12485,529,1,708.1,1,1,3,113,5,Needs Attention,Sweden
12486,432,1,1037.28,1,1,3,113,5,Needs Attention,Sweden
12487,731,1,285.3,1,1,1,111,3,Lost,Sweden
12488,10,3,1298.66,5,3,4,534,12,Loyal Customers,France
12489,336,1,334.93,2,1,2,212,5,Lost,France
12490,5,21,9823.64,5,5,5,555,15,Champions,France
12491,39,1,460.4,4,1,2,412,7,New Customers,France
12492,63,3,715.21,3,3,3,333,9,Loyal Customers,Germany
12493,166,2,433.74,3,2,2,322,7,Promising,France
12494,16,9,1872.87,5,5,4,554,14,Champions,France
12495,641,1,357.4,1,1,2,112,4,Lost,Sweden
12496,620,2,54.09,1,2,1,121,4,Lost,Spain
12497,82,3,6248.5,3,3,5,335,11,Loyal Customers,Germany
12498,21,3,403.7,4,3,2,432,9,Loyal Customers,Germany
12499,560,1,393.72,1,1,2,112,4,Lost,Germany
12500,23,19,5955.21,4,5,5,455,14,Champions,Germany
12501,337,1,2169.39,2,1,4,214,7,Needs Attention,Germany
12502,96,5,3723.87,3,4,5,345,12,Loyal Customers,Spain
12503,584,1,1126.0,1,1,3,113,5,Needs Attention,Spain
12504,18,4,779.05,5,3,3,533,11,Loyal Customers,Germany
12505,409,1,955.2,2,1,3,213,6,Needs Attention,Italy
12506,233,1,73.5,2,1,1,211,4,Lost,France
12507,134,4,1844.06,3,3,4,334,10,Loyal Customers,Spain
12508,26,2,398.27,4,2,2,422,8,New Customers,France
12509,284,1,176.5,2,1,1,211,4,Lost,France
12510,143,9,5178.02,3,5,5,355,13,Loyal Customers,Spain
12511,429,1,3084.02,1,1,5,115,7,Needs Attention,Greece
12512,66,2,138.03,3,2,1,321,6,Promising,Israel
12513,113,1,612.29,3,1,2,312,6,Promising,France
12514,267,2,1597.76,2,2,4,224,8,Needs Attention,Italy
12515,353,1,383.7,2,1,2,212,5,Lost,Italy
12516,78,4,2648.62,3,3,4,334,10,Loyal Customers,Germany
12517,28,5,2502.84,4,4,4,444,12,Champions,Germany
12518,1,5,2056.89,5,4,4,544,13,Champions,Germany
12519,64,2,726.54,3,2,3,323,8,Needs Attention,Germany
12520,79,5,2634.2599999999998,3,4,4,344,11,Loyal Customers,Germany
12521,143,1,599.68,3,1,2,312,6,Promising,Germany
12522,39,2,192.72,4,2,1,421,7,New Customers,Germany
12523,19,23,4372.15,5,5,5,555,15,Champions,France
12524,9,17,11126.11,5,5,5,555,15,Champions,Germany
12525,498,3,973.73,1,3,3,133,7,Needs Attention,France
12526,1,3,1316.66,5,3,4,534,12,Loyal Customers,Germany
12527,82,5,735.51,3,4,3,343,10,Loyal Customers,Germany
12528,9,6,1933.48,5,4,4,544,13,Champions,Germany
12529,528,1,316.48,1,1,2,112,4,Lost,France
12530,60,9,3759.2599999999998,3,5,5,355,13,Loyal Customers,Germany
12531,15,2,1933.2,5,2,4,524,11,New Customers,Germany
12532,30,1,349.83,4,1,2,412,7,New Customers,France
12533,628,2,1367.89,1,2,4,124,7,Needs Attention,Germany
12534,131,1,1089.18,3,1,3,313,7,Needs Attention,Germany
12535,92,2,716.35,3,2,3,323,8,Needs Attention,France
12536,43,3,12601.830000000002,4,3,5,435,12,Loyal Customers,France
12537,409,1,732.9399999999999,2,1,3,213,6,Needs Attention,Sweden
12538,29,2,640.45,4,2,3,423,9,New Customers,Spain
12539,22,7,11214.75,4,4,5,445,13,Champions,Spain
12540,20,33,22254.489999999998,4,5,5,455,14,Champions,Spain
12541,30,3,981.18,4,3,3,433,10,Loyal Customers,Spain
12542,484,2,481.88,1,2,2,122,5,Lost,Spain
12543,448,1,980.25,1,1,3,113,5,Needs Attention,Spain
12544,36,1,372.7,4,1,2,412,7,New Customers,Spain
12545,75,2,1000.39,3,2,3,323,8,Needs Attention,Spain
12546,47,2,1161.5,4,2,3,423,9,New Customers,Spain
12547,198,3,383.58,2,3,2,232,7,Needs Attention,Spain
12548,166,1,95.19999999999999,3,1,1,311,5,Promising,Spain
12549,576,6,1575.6799999999998,1,4,4,144,9,At Risk,USA
12550,79,1,964.83,3,1,3,313,7,Needs Attention,Spain
12551,358,1,168.0,2,1,1,211,4,Lost,Spain
12552,39,2,437.82,4,2,2,422,8,New Customers,Italy
12553,8,12,4608.75,5,5,5,555,15,Champions,France
12554,449,1,468.5,1,1,2,112,4,Lost,Spain
12555,682,1,129.23,1,1,1,111,3,Lost,Spain
12556,50,2,603.71,4,2,2,422,8,New Customers,Spain
12557,16,8,18716.14,5,4,5,545,14,Champions,Spain
12558,8,1,269.96,5,1,1,511,7,New Customers,USA
12559,311,2,561.71,2,2,2,222,6,Lost,Germany
12560,5,3,2134.0099999999998,5,3,4,534,12,Loyal Customers,Germany
12561,303,1,238.85,2,1,1,211,4,Lost,Germany
12562,8,9,4966.92,5,5,5,555,15,Champions,France
12563,409,1,249.24,2,1,1,211,4,Lost,Italy
12564,261,1,456.9,2,1,2,212,5,Lost,France
12565,289,1,145.92,2,1,1,211,4,Lost,Saudi Arabia
12566,86,1,351.65,3,1,2,312,6,Promising,Germany
12567,23,15,13709.86,4,5,5,455,14,Champions,France
12568,645,1,70.0,1,1,1,111,3,Lost,Germany
12569,2,32,4124.69,5,5,5,555,15,Champions,Germany
12570,682,1,77.52,1,1,1,111,3,Lost,Spain
12571,40,2,519.61,4,2,2,422,8,New Customers,France
12572,9,2,1020.42,5,2,3,523,10,New Customers,Germany
12573,227,5,717.41,2,4,3,243,9,At Risk,France
12574,316,1,218.45,2,1,1,211,4,Lost,France
12575,457,2,622.82,1,2,3,123,6,Needs Attention,France
12576,36,8,2142.72,4,4,4,444,12,Champions,Poland
12577,35,8,1653.75,4,4,4,444,12,Champions,France
12578,21,4,4642.45,4,3,5,435,12,Loyal Customers,Italy
12579,78,1,440.42,3,1,2,312,6,Promising,France
12580,247,2,1052.9,2,2,3,223,7,Needs Attention,Germany
12581,40,1,197.71,4,1,1,411,6,New Customers,Germany
12582,239,4,1980.4,2,3,4,234,9,Needs Attention,Finland
12583,3,27,14447.44,5,5,5,555,15,Champions,France
12584,4,9,2338.15,5,5,4,554,14,Champions,Italy
12585,234,2,2040.1,2,2,4,224,8,Needs Attention,Germany
12586,17,4,2062.67,5,3,4,534,12,Loyal Customers,Italy
12587,8,1,144.0,5,1,1,511,7,New Customers,Finland
12588,39,4,958.78,4,3,3,433,10,Loyal Customers,Finland
12589,29,8,4695.66,4,4,5,445,13,Champions,France
12590,211,2,9864.26,2,2,5,225,9,Needs Attention,Germany
12591,317,3,1352.1499999999999,2,3,4,234,9,Needs Attention,Italy
12592,92,5,2582.66,3,4,4,344,11,Loyal Customers,Germany
12593,109,3,418.1,3,3,2,332,8,Loyal Customers,France
12594,38,15,5090.11,4,5,5,455,14,Champions,Italy
12595,505,1,299.02,1,1,2,112,4,Lost,Germany
12596,51,2,618.27,4,2,3,423,9,New Customers,Spain
12597,19,4,3811.22,5,3,5,535,13,Loyal Customers,Spain
12598,10,11,4534.09,5,5,5,555,15,Champions,France
12599,29,13,2296.72,4,5,4,454,13,Champions,France
12600,29,21,5043.92,4,5,5,455,14,Champions,Germany
12601,190,6,681.26,2,4,3,243,9,At Risk,Germany
12602,59,1,153.12,4,1,1,411,6,New Customers,France
12603,22,1,739.2,4,1,3,413,8,New Customers,Germany
12604,79,2,254.17999999999998,3,2,1,321,6,Promising,France
12605,376,4,1232.95,2,3,3,233,8,Needs Attention,Germany
12606,682,1,21.0,1,1,1,111,3,Lost,Spain
12607,60,1,1579.51,3,1,4,314,8,Needs Attention,USA
12608,405,1,415.79,2,1,2,212,5,Lost,United Kingdom
12609,78,9,3435.86,3,5,5,355,13,Loyal Customers,Germany
12610,23,5,2099.54,4,4,4,444,12,Champions,Italy
12611,52,1,1193.32,4,1,3,413,8,New Customers,Italy
12612,74,1,704.04,3,1,3,313,7,Needs Attention,Germany
12613,57,10,6835.07,4,5,5,455,14,Champions,Germany
12614,278,1,315.6,2,1,2,212,5,Lost,Germany
12615,2,8,5740.98,5,4,5,545,14,Champions,France
12616,95,3,1131.1,3,3,3,333,9,Loyal Customers,France
12617,29,1,355.53000000000003,4,1,2,412,7,New Customers,France
12618,22,1,177.31,4,1,1,411,6,New Customers,Italy
12619,16,10,3781.38,5,5,5,555,15,Champions,Germany
12620,15,3,1339.41,5,3,4,534,12,Loyal Customers,France
12621,2,35,24775.81,5,5,5,555,15,Champions,Germany
12622,232,1,180.1,2,1,1,211,4,Lost,Germany
12623,276,7,3747.84,2,4,5,245,11,At Risk,Germany
12624,106,2,641.13,3,2,3,323,8,Needs Attention,France
12625,212,4,5164.88,2,3,5,235,10,Needs Attention,Germany
12626,23,9,6620.48,4,5,5,455,14,Champions,Germany
12627,11,7,4478.53,5,4,5,545,14,Champions,Germany
12628,4,3,786.46,5,3,3,533,11,Loyal Customers,Germany
12629,386,2,1558.22,2,2,4,224,8,Needs Attention,Sweden
12630,10,2,1270.88,5,2,4,524,11,New Customers,Finland
12631,57,6,3481.57,4,4,5,445,13,Champions,Finland
12632,521,2,804.88,1,2,3,123,6,Needs Attention,Germany
12633,59,7,5678.16,4,4,5,445,13,Champions,Germany
12634,536,2,490.0,1,2,2,122,5,Lost,USA
12635,90,4,2930.41,3,3,4,334,10,Loyal Customers,Germany
12636,739,1,141.0,1,1,1,111,3,Lost,USA
12637,67,12,8340.31,3,5,5,355,13,Loyal Customers,France
12638,33,2,921.49,4,2,3,423,9,New Customers,Sweden
12639,239,3,1312.37,2,3,4,234,9,Needs Attention,Sweden
12640,24,3,1174.58,4,3,3,433,10,Loyal Customers,France
12641,115,1,185.9,3,1,1,311,5,Promising,Sweden
12642,25,3,1013.26,4,3,3,433,10,Loyal Customers,Germany
12643,128,12,8350.42,3,5,5,355,13,Loyal Customers,France
12644,130,4,1918.49,3,3,4,334,10,Loyal Customers,Germany
12645,34,8,3539.2999999999997,4,4,5,445,13,Champions,Germany
12646,5,2,1346.97,5,2,4,524,11,New Customers,USA
12647,22,36,17924.35,4,5,5,455,14,Champions,Germany
12648,155,4,1112.0,3,3,3,333,9,Loyal Customers,Germany
12649,107,8,2294.65,3,4,4,344,11,Loyal Customers,Germany
12650,3,1,314.44,5,1,2,512,8,New Customers,France
12651,335,4,377.75,2,3,2,232,7,Needs Attention,France
12652,331,2,1017.03,2,2,3,223,7,Needs Attention,France
12653,149,3,4160.83,3,3,5,335,11,Loyal Customers,Israel
12654,11,5,601.98,5,4,2,542,11,Loyal Customers,Germany
12655,424,1,261.35,1,1,1,111,3,Lost,France
12656,17,8,6407.83,5,4,5,545,14,Champions,France
12657,11,4,1643.18,5,3,4,534,12,Loyal Customers,France
12658,19,1,686.05,5,1,3,513,9,New Customers,Germany
12659,30,1,91.68,4,1,1,411,6,New Customers,France
12660,11,1,245.1,5,1,1,511,7,New Customers,France
12661,436,1,162.0,1,1,1,111,3,Lost,Sweden
12662,1,20,6988.0199999999995,5,5,5,555,15,Champions,Germany
12663,625,2,239.4,1,2,1,121,4,Lost,Germany
12664,8,11,6070.04,5,5,5,555,15,Champions,Finland
12665,325,3,313.6,2,3,2,232,7,Needs Attention,Germany
12666,394,1,1248.42,2,1,3,213,6,Needs Attention,Israel
12667,58,1,620.13,4,1,3,413,8,New Customers,Finland
12668,12,10,11444.68,5,5,5,555,15,Champions,Germany
12669,151,3,2744.0299999999997,3,3,4,334,10,Loyal Customers,France
12670,10,7,3760.29,5,4,5,545,14,Champions,France
12671,606,1,2622.48,1,1,4,114,6,Needs Attention,Germany
12672,330,2,437.05,2,2,2,222,6,Lost,France
12673,5,3,1230.02,5,3,3,533,11,Loyal Customers,Germany
12674,39,4,1970.6,4,3,4,434,11,Loyal Customers,France
12675,554,2,958.5,1,2,3,123,6,Needs Attention,Italy
12676,25,11,2843.09,4,5,4,454,13,Champions,Sweden
12677,555,2,395.1,1,2,2,122,5,Lost,France
12678,42,21,34281.18,4,5,5,455,14,Champions,France
12679,59,4,1113.02,4,3,3,433,10,Loyal Customers,France
12680,1,4,880.81,5,3,3,533,11,Loyal Customers,France
12681,15,45,30868.28,5,5,5,555,15,Champions,France
12682,4,52,24033.91,5,5,5,555,15,Champions,France
12683,4,21,12696.78,5,5,5,555,15,Champions,France
12684,8,7,2283.63,5,4,4,544,13,Champions,France
12685,28,6,2863.08,4,4,4,444,12,Champions,France
12686,372,1,178.28,2,1,1,211,4,Lost,France
12687,481,2,2138.91,1,2,4,124,7,Needs Attention,Sweden
12688,114,1,4873.81,3,1,5,315,9,Needs Attention,Israel
12689,26,2,1247.61,4,2,3,423,9,New Customers,France
12690,206,1,389.01,2,1,2,212,5,Lost,France
12691,28,7,1170.4,4,4,3,443,11,Loyal Customers,France
12692,637,1,110.95,1,1,1,111,3,Lost,France
12693,127,7,1703.02,3,4,4,344,11,Loyal Customers,Germany
12694,70,3,1843.35,3,3,4,334,10,Loyal Customers,France
12695,7,7,1407.1200000000001,5,4,4,544,13,Champions,France
12696,435,2,851.91,1,2,3,123,6,Needs Attention,Finland
12697,29,3,957.59,4,3,3,433,10,Loyal Customers,Sweden
12698,590,1,339.75,1,1,2,112,4,Lost,Germany
12699,418,1,638.11,1,1,3,113,5,Needs Attention,Germany
12700,8,4,4939.99,5,3,5,535,13,Loyal Customers,France
12701,80,6,2446.41,3,4,4,344,11,Loyal Customers,Germany
12702,20,1,219.0,4,1,1,411,6,New Customers,Germany
12703,71,4,1006.53,3,3,3,333,9,Loyal Customers,Germany
12704,7,8,2340.84,5,4,4,544,13,Champions,Finland
12705,15,14,11762.1,5,5,5,555,15,Champions,Germany
12707,292,1,603.42,2,1,2,212,5,Lost,France
12708,30,18,5314.1,4,5,5,455,14,Champions,Germany
12709,15,34,31093.34,5,5,5,555,15,Champions,Germany
12710,97,3,1149.02,3,3,3,333,9,Loyal Customers,Germany
12711,612,2,1339.05,1,2,4,124,7,Needs Attention,Germany
12712,29,21,7193.66,4,5,5,455,14,Champions,Germany
12713,1,1,848.55,5,1,3,513,9,New Customers,Germany
12714,9,12,14093.71,5,5,5,555,15,Champions,France
12715,106,1,353.86,3,1,2,312,6,Promising,Sweden
12716,4,2,1053.49,5,2,3,523,10,New Customers,France
12717,151,3,1308.91,3,3,4,334,10,Loyal Customers,Greece
12718,71,1,238.25,3,1,1,311,5,Promising,France
12719,5,2,644.95,5,2,3,523,10,New Customers,France
12720,3,30,8260.67,5,5,5,555,15,Champions,Germany
12721,32,8,4013.08,4,4,5,445,13,Champions,France
12722,85,4,997.63,3,3,3,333,9,Loyal Customers,France
12723,4,5,725.07,5,4,3,543,12,Loyal Customers,France
12724,5,7,2317.52,5,4,4,544,13,Champions,France
12725,371,4,2694.56,2,3,4,234,9,Needs Attention,Italy
12726,28,11,4014.6,4,5,5,455,14,Champions,France
12727,11,10,5679.53,5,5,5,555,15,Champions,France
12728,71,5,1070.17,3,4,3,343,10,Loyal Customers,France
12729,114,1,453.01,3,1,2,312,6,Promising,France
12730,522,1,829.25,1,1,3,113,5,Needs Attention,Germany
12731,24,17,25775.71,4,5,5,455,14,Champions,France
12732,180,1,236.26,3,1,1,311,5,Promising,France
12733,234,4,2424.87,2,3,4,234,9,Needs Attention,USA
12734,353,3,639.65,2,3,3,233,8,Needs Attention,France
12735,315,2,779.5699999999999,2,2,3,223,7,Needs Attention,France
12736,333,1,234.0,2,1,1,211,4,Lost,France
12737,499,2,3710.5,1,2,5,125,8,Needs Attention,France
12738,372,1,310.7,2,1,2,212,5,Lost,Germany
12739,78,4,2726.73,3,3,4,334,10,Loyal Customers,United Arab Emirates
12740,64,1,427.6,3,1,2,312,6,Promising,France
12741,529,2,406.07,1,2,2,122,5,Lost,USA
12742,626,1,1201.52,1,1,3,113,5,Needs Attention,United Arab Emirates
12743,134,2,546.43,3,2,2,322,7,Promising,Unspecified
12744,52,11,25317.06,4,5,5,455,14,Champions,Singapore
12745,487,3,925.41,1,3,3,133,7,Needs Attention,United Kingdom
12746,541,1,254.55,1,1,1,111,3,Lost,United Kingdom
12747,2,26,9276.539999999999,5,5,5,555,15,Champions,United Kingdom
12748,1,336,56599.39,5,5,5,555,15,Champions,United Kingdom
12749,4,9,6897.36,5,5,5,555,15,Champions,United Kingdom
12750,129,1,275.88,3,1,1,311,5,Promising,Poland
12751,445,1,268.27,1,1,1,111,3,Lost,Brazil
12752,81,1,4366.78,3,1,5,315,9,Needs Attention,Norway
12753,23,6,21429.39,4,4,5,445,13,Champions,Japan
12754,236,3,3010.7400000000002,2,3,5,235,10,Needs Attention,Japan
12755,281,11,9030.66,2,5,5,255,12,At Risk,Japan
12756,87,1,112.08,3,1,1,311,5,Promising,Japan
12757,16,13,7857.1,5,5,5,555,15,Champions,Portugal
12758,117,7,9903.24,3,4,5,345,12,Loyal Customers,Portugal
12759,52,8,5020.74,4,4,5,445,13,Champions,Netherlands
12760,456,1,347.8,1,1,2,112,4,Lost,Netherlands
12761,458,2,782.95,1,2,3,123,6,Needs Attention,Netherlands
12762,8,2,1898.52,5,2,4,524,11,New Customers,Portugal
12763,138,2,814.16,3,2,3,323,8,Needs Attention,Japan
12764,317,1,1693.88,2,1,4,214,7,Needs Attention,Lebanon
12765,472,6,1404.58,1,4,4,144,9,At Risk,Netherlands
12766,4,9,10068.28,5,5,5,555,15,Champions,Portugal
12767,376,1,949.8199999999999,2,1,3,213,6,Needs Attention,Korea
12768,451,1,168.69,1,1,1,111,3,Lost,Korea
12769,239,1,1143.6,2,1,3,213,6,Needs Attention,Brazil
12770,211,2,3246.45,2,2,5,225,9,Needs Attention,Japan
12771,486,1,282.3,1,1,1,111,3,Lost,Portugal
12772,60,1,892.47,3,1,3,313,7,Needs Attention,Portugal
12773,564,1,124.25,1,1,1,111,3,Lost,Portugal
12774,536,1,98.7,1,1,1,111,3,Lost,Netherlands
12775,17,7,1686.12,5,4,4,544,13,Champions,Netherlands
12776,668,1,55.5,1,1,1,111,3,Lost,Portugal
12777,458,1,519.45,1,1,2,112,4,Lost,United Kingdom
12778,20,9,1775.68,4,5,4,454,13,Champions,Netherlands
12779,38,14,6722.2699999999995,4,5,5,455,14,Champions,Poland
12780,599,1,337.4,1,1,2,112,4,Lost,Netherlands
12781,64,2,826.74,3,2,3,323,8,Needs Attention,Czech Republic
12782,5,11,4618.24,5,5,5,555,15,Champions,Portugal
12783,2,6,2225.91,5,4,4,544,13,Champions,Portugal
12784,9,3,1804.75,5,3,4,534,12,Loyal Customers,Portugal
12785,364,3,1100.4,2,3,3,233,8,Needs Attention,Portugal
12786,610,1,728.5,1,1,3,113,5,Needs Attention,Netherlands
12787,10,4,862.18,5,3,3,533,11,Loyal Customers,Netherlands
12788,463,4,444.9,1,3,2,132,6,Needs Attention,Netherlands
12789,65,3,273.35,3,3,1,331,7,Loyal Customers,Netherlands
12790,192,2,591.85,2,2,2,222,6,Lost,Netherlands
